#Data Set Export - Discharge Total.Change-in-Storage@08461200,,,,
Timestamp (UTC-06:00),Value (TCM),Grade Code,Approval Level,Interpolation Type
1953-08-19 00:00:00,98.6791199999998,41,800,8
1953-08-20 00:00:00,-271.36757999999963,41,800,8
1953-08-21 00:00:00,-6586.831260000001,41,800,8
1953-08-22 00:00:00,-23510.300339999994,41,800,8
1953-08-23 00:00:00,-69642.78894,41,800,8
1953-08-24 00:00:00,-65313.24255000001,41,800,8
1953-08-25 00:00:00,-139544.61057,41,800,8
1953-08-26 00:00:00,-182334.34398,41,800,8
1953-08-27 00:00:00,-103909.11336000002,41,800,8
1953-08-28 00:00:00,-36819.64665,41,800,8
1953-08-29 00:00:00,-33476.89146000007,41,800,8
1953-08-30 00:00:00,-33082.174979999894,41,800,8
1953-08-31 00:00:00,-58393.36925999995,41,800,8
1953-09-01 00:00:00,-75440.18724,41,800,8
1953-09-02 00:00:00,-99419.21340000012,41,800,8
1953-09-03 00:00:00,-139421.26167000004,41,800,8
1953-09-04 00:00:00,-59811.88161000005,41,800,8
1953-09-05 00:00:00,-36955.33043999993,41,800,8
1953-09-06 00:00:00,-25126.170929999793,41,800,8
1953-09-07 00:00:00,2528.652449999703,41,800,8
1953-09-08 00:00:00,2528.6524500001688,41,800,8
1953-09-09 00:00:00,3762.1414499999955,41,800,8
1953-09-10 00:00:00,1282.8285599998198,41,800,8
1953-09-11 00:00:00,2516.3175600001123,41,800,8
1953-09-12 00:00:00,7511.948009999935,41,800,8
1953-09-13 00:00:00,4995.630450000055,41,800,8
1953-09-14 00:00:00,2491.6477799999993,41,800,8
1953-09-15 00:00:00,4970.960669999942,41,800,8
1953-09-16 00:00:00,4958.6257800001185,41,800,8
1953-09-17 00:00:00,2466.9779999998864,41,800,8
1953-09-18 00:00:00,2466.978000000119,41,800,8
1953-09-19 00:00:00,2466.9779999998864,41,800,8
1953-09-20 00:00:00,2454.6431100002956,41,800,8
1953-09-21 00:00:00,0,41,800,8
1953-09-22 00:00:00,0,41,800,8
1953-09-23 00:00:00,0,41,800,8
1953-09-24 00:00:00,0,41,800,8
1953-09-25 00:00:00,2466.9779999998864,41,800,8
1953-09-26 00:00:00,7339.259549999842,41,800,8
1953-09-27 00:00:00,4872.281549999956,41,800,8
1953-09-28 00:00:00,6315.463680000277,41,800,8
1953-09-29 00:00:00,9682.888649999863,41,800,8
1953-09-30 00:00:00,5772.728519999888,41,800,8
1953-10-01 00:00:00,5760.393630000064,41,800,8
