Fecha,Value (TCM)
19/08/1953 00:00,1936.6
20/08/1953 00:00,1837.9
21/08/1953 00:00,2109.3
22/08/1953 00:00,8696.1
23/08/1953 00:00,32206.4
24/08/1953 00:00,101849.2
25/08/1953 00:00,167162.5
26/08/1953 00:00,306707.1
27/08/1953 00:00,489041.5
28/08/1953 00:00,592950.6
29/08/1953 00:00,629770.3
30/08/1953 00:00,663247.2
31/08/1953 00:00,696329.3
01/09/1953 00:00,754722.7
02/09/1953 00:00,830162.9
03/09/1953 00:00,929582.2
04/09/1953 00:00,1069003.4
05/09/1953 00:00,1128815.3
06/09/1953 00:00,1165770.7
07/09/1953 00:00,1190896.9
08/09/1953 00:00,1188368.2
09/09/1953 00:00,1185839.5
10/09/1953 00:00,1182077.4
11/09/1953 00:00,1180794.6
12/09/1953 00:00,1178278.3
13/09/1953 00:00,1170766.3
14/09/1953 00:00,1165770.7
15/09/1953 00:00,1163279
16/09/1953 00:00,1158308.1
17/09/1953 00:00,1153349.4
18/09/1953 00:00,1150882.5
19/09/1953 00:00,1148415.5
20/09/1953 00:00,1145948.5
21/09/1953 00:00,1143493.9
22/09/1953 00:00,1143493.9
23/09/1953 00:00,1143493.9
24/09/1953 00:00,1143493.9
25/09/1953 00:00,1143493.9
26/09/1953 00:00,1141026.9
27/09/1953 00:00,1133687.6
28/09/1953 00:00,1128815.3
29/09/1953 00:00,1122499.9
30/09/1953 00:00,1112817
01/10/1953 00:00,1107044.3
02/10/1953 00:00,1101283.9
03/10/1953 00:00,1114753.6
04/10/1953 00:00,1126385.4
05/10/1953 00:00,1134181
06/10/1953 00:00,1135155.5
07/10/1953 00:00,1134181
08/10/1953 00:00,1138584.6
09/10/1953 00:00,1139559
10/10/1953 00:00,1140052.4
11/10/1953 00:00,1141026.9
12/10/1953 00:00,1142507.1
13/10/1953 00:00,1144468.3
14/10/1953 00:00,1146935.3
15/10/1953 00:00,1148908.9
16/10/1953 00:00,1146935.3
17/10/1953 00:00,1147428.7
18/10/1953 00:00,1142013.7
19/10/1953 00:00,1138091.2
20/10/1953 00:00,1133206.6
21/10/1953 00:00,1129296.4
22/10/1953 00:00,1170766.3
23/10/1953 00:00,1181300.3
24/10/1953 00:00,1229320
25/10/1953 00:00,1234513
26/10/1953 00:00,1242333.4
27/10/1953 00:00,1244948.4
28/10/1953 00:00,1247563.4
29/10/1953 00:00,1248611.8
30/10/1953 00:00,1251757.2
31/10/1953 00:00,1255433
01/11/1953 00:00,1257542.3
02/11/1953 00:00,1259651.5
03/11/1953 00:00,1261230.4
04/11/1953 00:00,1263882.4
05/11/1953 00:00,1263882.4
06/11/1953 00:00,1264412.8
07/11/1953 00:00,1264412.8
08/11/1953 00:00,1261760.8
09/11/1953 00:00,1261230.4
10/11/1953 00:00,1260712.3
11/11/1953 00:00,1260181.9
12/11/1953 00:00,1259651.5
13/11/1953 00:00,1259651.5
14/11/1953 00:00,1259121.1
15/11/1953 00:00,1259121.1
16/11/1953 00:00,1258603.1
17/11/1953 00:00,1258072.7
18/11/1953 00:00,1256493.8
19/11/1953 00:00,1252805.7
20/11/1953 00:00,1250708.7
21/11/1953 00:00,1247033
22/11/1953 00:00,1243899.9
23/11/1953 00:00,1240236.4
24/11/1953 00:00,1235549.2
25/11/1953 00:00,1230886.6
26/11/1953 00:00,1226076
27/11/1953 00:00,1222449.5
28/11/1953 00:00,1217305.9
29/11/1953 00:00,1212162.2
30/11/1953 00:00,1207549
01/12/1953 00:00,1203971.8
02/12/1953 00:00,1200912.8
03/12/1953 00:00,1194819.4
04/12/1953 00:00,1196842.3
05/12/1953 00:00,1186345.3
06/12/1953 00:00,1181806
07/12/1953 00:00,1179289.7
08/12/1953 00:00,1176267.7
09/12/1953 00:00,1173270.3
10/12/1953 00:00,1171765.4
