elevation_m,volume_TCM,volume_Mm3,pct_NAMO,pct_NAME,estado,referencia
72.0,191684.0,191.68,5.9,3.9,🔴 Emergencia (<12.5%),
72.5,219961.0,219.96,6.7,4.5,🔴 Emergencia (<12.5%),
73.0,240259.0,240.26,7.4,4.9,🔴 Emergencia (<12.5%),
73.5,250881.0,250.88,7.7,5.2,🔴 Emergencia (<12.5%),
74.0,262024.0,262.02,8.0,5.4,🔴 Emergencia (<12.5%),
74.5,296535.0,296.54,9.1,6.1,🔴 Emergencia (<12.5%),
75.0,323501.0,323.5,9.9,6.7,🔴 Emergencia (<12.5%),
75.5,324005.0,324.0,9.9,6.7,🔴 Emergencia (<12.5%),
76.0,324501.0,324.5,9.9,6.7,🔴 Emergencia (<12.5%),
76.5,335295.0,335.3,10.3,6.9,🔴 Emergencia (<12.5%),
77.0,356251.0,356.25,10.9,7.3,🔴 Emergencia (<12.5%),
77.5,383575.0,383.58,11.7,7.9,🔴 Emergencia (<12.5%),
78.0,420900.0,420.9,12.9,8.7,🟠 Crítico (<25%),
78.5,473842.0,473.84,14.5,9.7,🟠 Crítico (<25%),
79.0,535200.0,535.2,16.4,11.0,🟠 Crítico (<25%),
79.5,593204.0,593.2,18.2,12.2,🟠 Crítico (<25%),
80.0,653471.0,653.47,20.0,13.4,🟠 Crítico (<25%),← Hoy (22 Jun 2026)
80.5,718319.0,718.32,22.0,14.8,🟠 Crítico (<25%),← Hoy (22 Jun 2026)
81.0,786695.0,786.7,24.1,16.2,🟠 Crítico (<25%),
81.5,857891.0,857.89,26.3,17.6,🟡 Bajo (25-50%),
82.0,932900.0,932.9,28.6,19.2,🟡 Bajo (25-50%),
82.5,1012714.0,1012.71,31.0,20.8,🟡 Bajo (25-50%),
83.0,1097066.0,1097.07,33.6,22.6,🟡 Bajo (25-50%),
83.5,1186376.0,1186.38,36.3,24.4,🟡 Bajo (25-50%),
84.0,1279498.0,1279.5,39.2,26.3,🟡 Bajo (25-50%),
84.5,1373661.0,1373.66,42.1,28.2,🟡 Bajo (25-50%),
85.0,1473555.0,1473.56,45.1,30.3,🟡 Bajo (25-50%),
85.5,1587435.0,1587.44,48.6,32.6,🟡 Bajo (25-50%),
86.0,1704720.0,1704.72,52.2,35.1,🟢 Normal (50-75%),
86.5,1813147.0,1813.15,55.5,37.3,🟢 Normal (50-75%),
87.0,1923133.0,1923.13,58.9,39.5,🟢 Normal (50-75%),
87.5,2042383.0,2042.38,62.6,42.0,🟢 Normal (50-75%),
88.0,2167900.0,2167.9,66.4,44.6,🟢 Normal (50-75%),
88.5,2295317.0,2295.32,70.3,47.2,🟢 Normal (50-75%),
89.0,2436018.0,2436.02,74.6,50.1,🟢 Normal (50-75%),
89.5,2619363.0,2619.36,80.2,53.9,💧 Lleno (>75%),
90.0,2800736.0,2800.74,85.8,57.6,💧 Lleno (>75%),
90.5,2934464.0,2934.46,89.9,60.3,💧 Lleno (>75%),
91.0,3057203.0,3057.2,93.6,62.9,💧 Lleno (>75%),
91.5,3169574.0,3169.57,97.1,65.2,💧 Lleno (>75%),
91.805,3264810.0,3264.81,100.0,67.1,💧 Lleno (>75%),"← NAMO (91.805m) = 3,264,810 TCM"
92.0,3386301.0,3386.3,103.7,69.6,💧 Lleno (>75%),
92.5,3558828.0,3558.83,109.0,73.2,💧 Lleno (>75%),
93.0,3712741.0,3712.74,113.7,76.3,💧 Lleno (>75%),
93.5,3944105.0,3944.11,120.8,81.1,💧 Lleno (>75%),
94.0,4185701.0,4185.7,128.2,86.1,💧 Lleno (>75%),
94.5,4394335.0,4394.34,134.6,90.4,💧 Lleno (>75%),
95.0,4590942.0,4590.94,140.6,94.4,💧 Lleno (>75%),
95.5,4772374.0,4772.37,146.2,98.1,💧 Lleno (>75%),
95.77,4862930.0,4862.93,148.9,100.0,💧 Lleno (>75%),"← NAME (95.77m) = 4,862,930 TCM"
